Magnitude, Longitude, Latitude, Depth, Year, Month, Day, Error
5.7, -96.63, 34.45, 0, 1882, 10, 22, 0.
2.68, -96.800, 36.000, 0, 1900, 12, 1, 0.500
1.35, -96.800, 36.000, 0, 1901, 04, 01, 0.500
1.35, -96.800, 36.000, 0, 1901, 04, 08, 0.500
2.02, -97.700, 35.700, 0, 1908, 07, 19, 0.500
1.35, -98.000, 35.500, 0, 1910, 1, 1, 0.500
3.45, -95.300, 35.700, 0, 1915, 10, 08, 0.333
1.35, -95.800, 36.200, 0, 1915, 11, 08, 0.500
2.35, -97.700, 35.500, 0, 1918, 1, 1, 0.500
2.94, -98.000, 35.500, 0, 1918, 09, 10, 0.333
3.30, -98.000, 35.500, 0, 1918, 09, 11, 0.
3.39, -98.000, 35.500, 5, 1918, 09, 11, 0.192
2.94, -97.900, 35.500, 0, 1918, 09, 11, 0.333
1.68, -97.900, 35.500, 0, 1918, 09, 11, 0.500
2.02, -96.500, 36.300, 0, 1924, 06, 03, 0.500
3.96, -94.900, 35.600, 0, 1926, 01, 20, 0.333
3.96, -94.900, 35.600, 0, 1926, 06, 20, 0.333
3.64, -97.900, 35.500, 0, 1929, 12, 28, 0.333
2.78, -98.000, 35.500, 0, 1933, 08, 19, 0.220
3.45, -95.500, 33.900, 0, 1934, 04, 11, 0.220
3.90, -95.500, 33.900, 0, 1934, 04, 12, 0.
3.13, -95.200, 34.000, 0, 1936, 03, 14, 0.220
2.78, -102.900, 36.900, 0, 1936, 07, 12, 0.220
3.15, -96.900, 35.300, 0, 1937, 06, 08, 0.220
4.05, -96.400, 35.000, 0, 1939, 06, 01, 0.220
2.62, -99.000, 35.400, 0, 1941, 10, 18, 0.220
3.27, -97.900, 36.400, 0, 1942, 06, 12, 0.220
3.16, -97.900, 36.400, 5, 1942, 06, 12, 0.213
4.9, -97.92, 35.80, 0, 1952, 04, 09, 0.
2.88, -97.800, 35.400, 0, 1952, 04, 11, 0.240
3.45, -97.800, 35.400, 0, 1952, 04, 11, 0.220
3.45, -97.800, 35.400, 0, 1952, 04, 16, 0.220
3.45, -97.800, 35.400, 0, 1952, 04, 16, 0.220
3.48, -97.800, 35.400, 0, 1952, 06, 16, 0.240
3.28, -97.800, 35.400, 0, 1952, 07, 17, 0.240
3.28, -97.800, 35.400, 0, 1952, 07, 17, 0.240
3.48, -97.800, 35.400, 0, 1952, 08, 14, 0.240
3.48, -96.500, 35.100, 0, 1952, 10, 08, 0.240
3.08, -97.900, 35.400, 0, 1953, 03, 16, 0.240
3.42, -98.000, 35.600, 0, 1953, 03, 17, 0.220
3.42, -98.000, 35.600, 0, 1953, 03, 17, 0.220
3.48, -96.700, 34.700, 0, 1953, 06, 06, 0.240
2.65, -96.400, 35.100, 5, 1954, 04, 01, 0.515
3.48, -96.400, 35.000, 0, 1954, 04, 11, 0.240
3.48, -96.400, 35.000, 0, 1954, 04, 12, 0.240
3.48, -96.400, 35.100, 0, 1954, 04, 13, 0.240
3.58, -97.300, 35.400, 0, 1956, 02, 16, 0.220
3.32, -95.600, 34.200, 0, 1956, 04, 02, 0.220
4.39, -95.900, 36.200, 0, 1956, 10, 30, 0.35
3.58, -96.700, 34.700, 0, 1959, 06, 15, 0.220
3.86, -98.060, 34.640, 5, 1959, 06, 17, 0.220
3.62, -96.700, 34.800, 5, 1959, 07, 15, 0.206
3.48, -95.500, 34.900, 0, 1961, 01, 11, 0.240
3.48, -95.000, 34.600, 0, 1961, 04, 26, 0.240
2.68, -95.000, 34.600, 0, 1961, 04, 27, 0.240
2.68, -95.000, 34.600, 0, 1961, 04, 27, 0.240
3.78, -95.300, 34.900, 0, 1961, 04, 27, 0.240
2.98, -98.600, 35.300, 0, 1962, 04, 28, 0.240
2.85, -95.400, 35.100, 0, 1962, 05, 18, 0.250
3.31, -97.400, 34.800, 0, 1962, 08, 10, 0.250
3.00, -96.000, 35.200, 0, 1962, 09, 01, 0.250
3.31, -98.400, 34.700, 0, 1962, 09, 07, 0.250
3.08, -98.500, 35.000, 0, 1962, 10, 23, 0.250
3.00, -98.200, 34.700, 0, 1963, 02, 02, 0.250
